,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms,WS_intensity
2017-10-20 13:31:52.300,0.003531,1.25,1.66616196403,2.39425988236,0.000834,86.3045
2017-10-20 13:32:28.300,0.003467,1.25,1.73780285783,2.18118846064,0.000834,85.55918
2017-10-20 13:33:04.300,0.003279,1.25,1.75270958045,2.26934396716,0.000834,84.92034
2017-10-20 13:33:40.300,0.003373,1.25,2.12216914934,2.9295294755,0.000834,86.68476
2017-10-20 13:34:16.300,0.003306,1.25,1.94120905219,2.81226844956,0.000834,87.53655
2017-10-20 13:34:52.300,0.003341,1.25,2.09033969922,2.45549133707,0.000834,83.74913
2017-10-20 13:35:34.300,0.003374,1.25,2.02833398394,2.53590402863,0.000834,85.25497
2017-10-20 13:36:16.300,0.003476,1.25,2.22008605075,2.68044178045,0.000834,85.81776
2017-10-20 13:36:58.300,0.003264,1.25,1.74349984023,2.13558498525,0.000834,82.95818
2017-10-20 13:37:22.300,0.003755,1.25,2.33790459394,2.96286561766,0.000834,83.26239
2017-10-20 13:38:03.100,0.003779,1.25,1.58729033121,2.17233329765,0.000834,83.47534
2017-10-20 13:39:04.300,0.003518,1.25,1.77314187809,2.29601043199,0.000834,81.86303
2017-10-20 13:39:46.300,0.003517,1.25,1.65509835174,2.18057814912,0.000834,85.46793
2017-10-20 13:40:34.300,0.00343,1.25,1.97863735417,2.42211782677,0.000834,85.34624
2017-10-20 13:40:51.100,0.003753,1.25,1.97863735417,2.42211782677,0.000834,86.41097
2017-10-20 13:41:33.100,0.003448,1.25,1.64592369517,2.17114481442,0.000834,82.77566
2017-10-20 13:42:15.100,0.003299,1.25,1.89357972258,2.14074211369,0.000834,79.77919
2017-10-20 13:42:57.100,0.003684,1.25,2.06135201126,2.57341282429,0.000834,83.15592
2017-10-20 13:43:39.100,0.00346,1.25,1.60080321335,2.11556299745,0.000834,85.25497
2017-10-20 13:44:21.100,0.003375,1.25,1.87117109575,2.38323311898,0.000834,84.9964
2017-10-20 13:45:03.100,0.003468,1.25,2.08193550989,2.68798297122,0.000834,83.67308
2017-10-20 13:45:45.100,0.003291,1.25,1.87304599661,2.36551790342,0.000834,86.06113
2017-10-20 13:46:27.100,0.003311,1.25,2.10016683826,2.57870864748,0.000834,84.09898
2017-10-20 13:47:09.100,0.003777,1.25,2.29341960467,2.83919936887,0.000834,85.16371
2017-10-20 13:47:51.100,0.003785,1.25,1.9131603275,2.30251713757,0.000834,81.57403
2017-10-20 13:48:33.100,0.003566,1.25,2.12665224509,2.3183980499,0.000834,84.40318
2017-10-20 13:49:15.100,0.00327,1.25,1.68548402001,2.10119507087,0.000834,85.33102
2017-10-20 13:50:16.300,0.003371,1.25,2.6391984879,2.84176912454,0.000834,80.84393
2017-10-20 13:50:58.300,0.003439,1.25,2.14938710699,2.51164818181,0.000834,84.15982
2017-10-20 13:51:40.300,0.003708,1.25,1.73004061904,2.26431082253,0.000834,84.76823
2017-10-20 13:52:22.300,0.003244,1.25,1.71895079851,2.15530259781,0.000834,84.02292
2017-10-20 13:53:04.300,0.00326,1.25,2.64624006254,2.45072429397,0.000834,79.99213
2017-10-20 13:53:46.300,0.003333,1.25,2.40246839293,2.48053412031,0.000834,84.8595
2017-10-20 13:54:28.300,0.003609,1.25,2.31124174658,2.73277314912,0.000834,84.82908
2017-10-20 13:55:10.300,0.003656,1.25,1.76475736495,2.04506472682,0.000834,84.61613
2017-10-20 13:55:52.300,0.003608,1.25,1.69008656989,2.08913622029,0.000834,85.78735
2017-10-20 13:56:34.300,0.003495,1.25,1.62097892745,2.00788853736,0.000834,83.90124
2017-10-20 13:57:16.300,0.00355,1.25,1.814286632,2.20019128415,0.000834,84.15982
2017-10-20 13:57:58.300,0.003406,1.25,1.59216115158,2.05511577103,0.000834,84.12939
2017-10-20 13:58:40.300,0.003664,1.25,2.02071261228,2.428102797,0.000834,85.13329
2017-10-20 13:59:22.300,0.003344,1.25,1.59976745907,2.04550014974,0.000834,83.41451
2017-10-20 13:59:45.100,0.003631,1.25,2.2263312209,2.43985204625,0.000834,83.30803
2017-10-20 14:00:27.100,0.003341,1.25,1.70107691722,2.02967612205,0.000834,83.73392
2017-10-20 14:01:09.100,0.003447,1.25,2.00265097787,2.56948495702,0.000834,84.78345
2017-10-20 14:01:51.100,0.003595,1.25,1.77129438555,2.2491455467,0.000834,83.1255
2017-10-20 14:02:33.100,0.003684,1.25,1.69582114977,2.05716355408,0.000834,85.5896
2017-10-20 14:03:15.100,0.003282,1.25,1.72459450095,2.0958960536,0.000834,82.22808
2017-10-20 14:03:57.100,0.00377,1.25,2.34515756875,2.58492480696,0.000834,84.11418
2017-10-20 14:04:39.100,0.003682,1.25,1.76057576661,2.21820839181,0.000834,85.23977
2017-10-20 14:05:40.300,0.003516,1.25,1.59537792929,2.06655327654,0.000834,84.2815
2017-10-20 14:06:04.300,0.003486,1.25,1.78054035872,2.09452879506,0.000834,85.89381
2017-10-20 14:08:28.300,0.003528,1.25,1.66263048186,2.2504622828,0.000834,81.19376
2017-10-20 14:09:10.300,0.003529,1.25,1.5209207139,2.13477983838,0.000834,86.73039
2017-10-20 14:09:33.100,0.003706,1.25,1.58824350028,2.18804375331,0.000834,85.92424
2017-10-20 14:10:34.300,0.003693,1.25,1.74284246598,2.12688846213,0.000834,83.42971
2017-10-20 14:11:16.300,0.003606,1.25,1.66200275135,2.02801888075,0.000834,85.16371
2017-10-20 14:11:40.300,0.003453,1.25,1.78310451828,2.05478163667,0.000834,85.83297
2017-10-20 14:12:21.100,0.003702,1.25,1.89591427884,2.30751149139,0.000834,85.95466
2017-10-20 14:13:03.100,0.003542,1.25,1.64773803271,2.10325813049,0.000834,83.53619
2017-10-20 14:13:45.100,0.003437,1.25,1.60639067382,2.06581408974,0.000834,84.37276
2017-10-20 14:14:27.100,0.003776,1.25,1.83646442885,2.26748996232,0.000834,81.36108
2017-10-20 14:15:09.100,0.003739,1.25,1.92764418558,2.19807202858,0.000834,83.94687
2017-10-20 14:15:45.100,0.003552,1.25,1.75764173362,2.17290399974,0.000834,86.04592
2017-10-20 14:16:21.100,0.003594,1.25,1.61657453971,2.02637091845,0.000834,82.80608
2017-10-20 14:16:57.100,0.003573,1.25,1.54349843637,2.00503919613,0.000834,83.67308
2017-10-20 14:17:33.100,0.003355,1.25,1.55959007306,1.89665264982,0.000834,81.42192
2017-10-20 14:18:09.100,0.003409,1.25,1.95988690748,2.65290005837,0.000834,86.4566
2017-10-20 14:18:45.100,0.003506,1.25,1.8542505908,2.33493042456,0.000834,84.93555
2017-10-20 14:19:21.100,0.003368,1.25,1.68497546085,2.03253186501,0.000834,81.2394
2017-10-20 14:19:57.100,0.003721,1.25,2.1068044003,2.45160921907,0.000834,82.91256
2017-10-20 14:20:33.100,0.003348,1.25,1.62111711872,2.14036838574,0.000834,84.06855
2017-10-20 14:21:09.100,0.003365,1.25,2.20154312892,2.49349289953,0.000834,83.35366
2017-10-20 14:21:45.100,0.003334,1.25,2.00887924849,2.33312824494,0.000834,84.19024
2017-10-20 14:22:21.100,0.003366,1.25,2.00088174701,2.47041688143,0.000834,83.2776
2017-10-20 14:22:57.100,0.003486,1.25,2.10376578821,2.48394763034,0.000834,85.7265
2017-10-20 14:23:33.100,0.003414,1.25,1.59774246607,2.19127929658,0.000834,80.99603
2017-10-20 14:24:28.300,0.003767,1.25,2.01296853873,2.41464803183,0.000834,84.29671
2017-10-20 14:24:46.300,0.003483,1.25,1.94413963735,2.20369444755,0.000834,83.39929
2017-10-20 14:25:21.100,0.003342,1.25,1.75626069144,2.40128478809,0.000834,87.09544
2017-10-20 14:25:57.100,0.003756,1.25,1.90018546279,2.41737408768,0.000834,79.67271
2017-10-20 14:26:33.100,0.003799,1.25,1.69727139194,2.21727860844,0.000834,83.01903
2017-10-20 14:27:28.300,0.003488,1.25,2.0135057809,2.3534075285,0.000834,86.3045
2017-10-20 14:28:04.300,0.003299,1.25,1.71654610465,2.29455137226,0.000834,86.8825
2017-10-20 14:28:21.100,0.003384,1.25,2.13298151363,2.60665167266,0.000834,83.70351
2017-10-20 14:28:58.300,0.003471,1.25,2.12791679703,2.37552431942,0.000834,83.97729
2017-10-20 14:29:52.300,0.003578,1.25,1.91997827985,2.35823603325,0.000834,86.76082
2017-10-20 14:30:28.300,0.003386,1.25,1.68455888618,2.04045459772,0.000834,84.34234
2017-10-20 14:30:45.100,0.003582,1.25,2.06546927279,2.44904902696,0.000834,85.83297
2017-10-20 14:31:21.100,0.003645,1.25,1.74193593909,2.06728324178,0.000834,86.07634
2017-10-20 14:31:57.100,0.003363,1.25,1.49593421743,2.01048750004,0.000834,81.46755
2017-10-20 14:32:33.100,0.003303,1.25,2.08294631065,2.46225156109,0.000834,84.00771
2017-10-20 14:33:28.300,0.003406,1.25,2.20973263076,2.40558250957,0.000834,81.83261
2017-10-20 14:33:46.300,0.003419,1.25,2.14381321401,2.24307487376,0.000834,82.21287
2017-10-20 14:34:21.100,0.003479,1.25,1.9246518956,2.38649876076,0.000834,83.41451
2017-10-20 14:34:57.100,0.003528,1.25,1.64309451998,2.28310053374,0.000834,83.55139
2017-10-20 14:35:33.100,0.003285,1.25,1.90180296885,2.1952946438,0.000834,86.38055
2017-10-20 14:36:09.100,0.003386,1.25,2.31633247494,2.35020912827,0.000834,82.76044
2017-10-20 14:37:04.300,0.003696,1.25,2.06722822706,2.2848951007,0.000834,86.19803
2017-10-20 14:37:21.100,0.003252,1.25,1.57694602395,2.04343819414,0.000834,81.46755
2017-10-20 14:37:57.100,0.00377,1.25,2.47268400107,2.49845051702,0.000834,83.01903
2017-10-20 14:38:33.100,0.003656,1.25,1.84680062431,2.27103465614,0.000834,85.75692
2017-10-20 14:39:28.300,0.003517,1.25,1.63582311682,2.09125937033,0.000834,86.62392
2017-10-20 14:39:46.300,0.003568,1.25,1.6146069411,2.16504972718,0.000834,83.97729
2017-10-20 14:40:21.100,0.003372,1.25,1.43100809589,1.98940575388,0.000834,80.78308
2017-10-20 14:40:57.100,0.003499,1.25,1.96280658785,2.56873811116,0.000834,88.16018
